Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,RESTRunner\RESTRunner.csproj,File,RESTRunner\RESTRunner.csproj,,,Microsoft.Extensions.Hosting 9.0.9,,,,,"Microsoft.Extensions.Hosting, 9.0.9  Recommendation:  Remove Microsoft.Extensions.Hosting, and replace with new package Microsoft.Extensions.Hosting 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,RESTRunner\RESTRunner.csproj,File,RESTRunner\RESTRunner.csproj,,,Microsoft.Extensions.Http 9.0.9,,,,,"Microsoft.Extensions.Http, 9.0.9  Recommendation:  Remove Microsoft.Extensions.Http, and replace with new package Microsoft.Extensions.Http 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,RESTRunner\RESTRunner.csproj,File,RESTRunner\RESTRunner.csproj,,,System.Configuration.ConfigurationManager 9.0.9,,,,,"System.Configuration.ConfigurationManager, 9.0.9  Recommendation:  Remove System.Configuration.ConfigurationManager, and replace with new package System.Configuration.ConfigurationManager 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,RESTRunner\RESTRunner.csproj,File,RESTRunner\RESTRunner.csproj,,,System.Text.Json 9.0.9,,,,,"System.Text.Json, 9.0.9  Recommendation:  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,RESTRunner\RESTRunner.csproj,File,RESTRunner\RESTRunner.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,RESTRunner\RESTRunner.csproj,File,RESTRunner\Program.cs,14,4,M:Microsoft.Extensions.DependencyInjection.HttpClientFactoryServiceCollectionExtensions.AddHttpClient(Microsoft.Extensions.DependencyInjection.IServiceCollection),,,,,services.AddHttpClient();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,RESTRunner\RESTRunner.csproj,File,RESTRunner\Program.cs,11,8,M:Microsoft.Extensions.Logging.ConsoleLoggerExtensions.AddConsole(Microsoft.Extensions.Logging.ILoggingBuilder),,,,,configure.AddConsole();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,RESTRunner\RESTRunner.csproj,File,RESTRunner\Program.cs,6,0,T:Microsoft.Extensions.Hosting.HostBuilder,,,,,"var builder = new HostBuilder()  .ConfigureServices((hostContext, services) =>  {      services.AddLogging(configure =>       {          configure.AddConsole();          configure.SetMinimumLevel(LogLevel.Warning);      });      services.AddHttpClient();      services.AddSingleton(serviceProvider =>      {          var myRunner = new CompareRunner();          myRunner.InitializeCompareRunner();          var import = new PostmanImport(myRunner);          import.LoadFromPostman(""collection.json"");          myRunner.SaveToFile();          return myRunner;      });      services.AddSingleton<IExecuteRunner, ExecuteRunnerService>();  }).UseConsoleLifetime();"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,RESTRunner.Domain\RESTRunner.Domain.csproj,File,RESTRunner.Domain\RESTRunner.Domain.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,RESTRunner.Domain\RESTRunner.Domain.csproj,File,RESTRunner.Domain\Models\CompareInstance.cs,18,12,T:System.Uri,,,,,"if (!string.IsNullOrWhiteSpace(value) && Uri.TryCreate(value, UriKind.Absolute, out _))              {                  _baseUrl = value;              }              else if (!string.IsNullOrWhiteSpace(value))              {                  throw new ArgumentException(""BaseUrl must be a valid absolute URL"", nameof(BaseUrl));              }              else              {                  _baseUrl = value;              }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,RESTRunner.Domain\RESTRunner.Domain.csproj,File,RESTRunner.Domain\Models\CompareInstance.cs,18,12,"M:System.Uri.TryCreate(System.String,System.UriKind,System.Uri@)",,,,,"if (!string.IsNullOrWhiteSpace(value) && Uri.TryCreate(value, UriKind.Absolute, out _))              {                  _baseUrl = value;              }              else if (!string.IsNullOrWhiteSpace(value))              {                  throw new ArgumentException(""BaseUrl must be a valid absolute URL"", nameof(BaseUrl));              }              else              {                  _baseUrl = value;              }"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,RESTRunner.Domain.Tests\RESTRunner.Domain.Tests.csproj,File,RESTRunner.Domain.Tests\RESTRunner.Domain.Tests.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,RESTRunner.PostmanImport\RESTRunner.PostmanImport.csproj,File,RESTRunner.PostmanImport\RESTRunner.PostmanImport.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,RESTRunner.Services.HttpClient\RESTRunner.Services.HttpClientRunner.csproj,File,RESTRunner.Services.HttpClient\RESTRunner.Services.HttpClientRunner.csproj,,,Microsoft.Extensions.Http 9.0.9,,,,,"Microsoft.Extensions.Http, 9.0.9  Recommendation:  Remove Microsoft.Extensions.Http, and replace with new package Microsoft.Extensions.Http 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,RESTRunner.Services.HttpClient\RESTRunner.Services.HttpClientRunner.csproj,File,RESTRunner.Services.HttpClient\RESTRunner.Services.HttpClientRunner.csproj,,,Microsoft.Extensions.Logging.Abstractions 9.0.9,,,,,"Microsoft.Extensions.Logging.Abstractions, 9.0.9  Recommendation:  Remove Microsoft.Extensions.Logging.Abstractions, and replace with new package Microsoft.Extensions.Logging.Abstractions 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,RESTRunner.Services.HttpClient\RESTRunner.Services.HttpClientRunner.csproj,File,RESTRunner.Services.HttpClient\RESTRunner.Services.HttpClientRunner.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,RESTRunner.Services.HttpClient\RESTRunner.Services.HttpClientRunner.csproj,File,RESTRunner.Services.HttpClient\ExecuteRunnerService.cs,241,8,T:System.Net.Http.HttpContent,,,,,string content = await response.Content.ReadAsStringAsync(ct);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,RESTRunner.Services.HttpClient\RESTRunner.Services.HttpClientRunner.csproj,File,RESTRunner.Services.HttpClient\ExecuteRunnerService.cs,125,28,T:System.Net.Http.HttpContent,,,,,"customRequest.Content = new StringContent(req.BodyTemplate ?? string.Empty, Encoding.UTF8, ""application/json"");"
